variant,scenario,simulation,source_asset,trades,final_balance,total_return,cagr,max_drawdown,winrate,profit_factor,avg_trade,worst_trade,best_trade,ruined
stable_default,t_clustered_calendar_jump,0,BTC,207,12161.790035606971,0.2161790035606972,0.039918969231296675,0.3644081786026271,0.42995169082125606,1.084877563288165,0.0017405883773916983,-0.10261424918060322,0.1874614070357001,False
simple_long_continuation,t_clustered_calendar_jump,0,BTC,272,12266.926157103513,0.22669261571035126,0.04171076026642173,0.42078341704756483,0.4117647058823529,1.0955243276376727,0.001751474003696527,-0.10261424918060322,0.1874614070357001,False
stable_default,t_clustered_calendar_jump,1,BTC,219,12963.242003565854,0.29632420035658535,0.05327730309172973,0.41220646505779124,0.4611872146118721,1.0798230247410974,0.0015817394352061124,-0.31174395780292424,0.21684406682362267,False
simple_long_continuation,t_clustered_calendar_jump,1,BTC,256,7665.381579330497,-0.2334618420669503,-0.051785142973893694,0.48684718833180995,0.43359375,0.99819136598204,-3.574689022913815e-05,-0.31174395780292424,0.21684406682362267,False
stable_default,t_clustered_calendar_jump,2,ETH,195,30009.17186875735,2.0009171868757347,0.24580710150669605,0.1490751821462004,0.517948717948718,1.6334662317652024,0.010289329890760241,-0.18810253868440863,0.30146558465916784,False
simple_long_continuation,t_clustered_calendar_jump,2,ETH,227,27388.04610722434,1.738804610722434,0.2232415096495235,0.182940150664042,0.4977973568281938,1.4554566610904303,0.00769918284462006,-0.18810253868440863,0.30146558465916784,False
stable_default,t_clustered_calendar_jump,3,ETH,212,14018.357606609672,0.40183576066096727,0.06989073566401105,0.7234389271318447,0.42924528301886794,1.1453822210081706,0.0032957521952576654,-0.2526552145082277,0.7024006548138878,False
simple_long_continuation,t_clustered_calendar_jump,3,ETH,247,9144.901252504573,-0.08550987474954275,-0.01771886345218876,0.7593138589434556,0.4048582995951417,1.0617163803866387,0.00137206233038443,-0.2526552145082277,0.7024006548138878,False
stable_default,t_clustered_calendar_jump,4,ETH,202,21772.879772144905,1.1772879772144904,0.16837747288690275,0.3945830206773123,0.48514851485148514,1.319470256584775,0.005904316920065458,-0.1336744449414862,0.14944034386475313,False
simple_long_continuation,t_clustered_calendar_jump,4,ETH,229,19301.002236635006,0.9301002236635005,0.14055431583038347,0.5114000716897971,0.4585152838427948,1.222611173937025,0.004216332768427441,-0.1336744449414862,0.16179025274472722,False
stable_default,t_clustered_calendar_jump,5,BTC,211,15228.429143769146,0.5228429143769147,0.0877548325067039,0.5278379770878161,0.45023696682464454,1.1673280692175394,0.0031936351843225037,-0.19657317862583298,0.22387510431901173,False
simple_long_continuation,t_clustered_calendar_jump,5,BTC,266,11504.71838579971,0.15047183857997104,0.028431093238385774,0.5006350891815418,0.42857142857142855,1.0729464586968844,0.0013914446975074218,-0.19657317862583298,0.22387510431901173,False
stable_default,t_clustered_calendar_jump,6,ETH,202,6296.312384883373,-0.37036876151166276,-0.08837284460900696,0.5972401794964397,0.4207920792079208,0.9195035339545337,-0.0016970050395351977,-0.09042063701902708,0.12952937702401068,False
simple_long_continuation,t_clustered_calendar_jump,6,ETH,246,1814.3213735359295,-0.818567862646407,-0.289207489029656,0.8257388165632514,0.3902439024390244,0.7524765009468528,-0.005603513953801901,-0.3520256346059641,0.12952937702401068,False
stable_default,t_clustered_calendar_jump,7,ETH,206,22336.068423371093,1.2336068423371094,0.17436025957720402,0.2209493439601099,0.4854368932038835,1.3405413152217789,0.005988382729791804,-0.08635349338295231,0.22982645745264063,False
simple_long_continuation,t_clustered_calendar_jump,7,ETH,252,23105.069439255778,1.3105069439255779,0.18233747649308008,0.2712340369752029,0.4722222222222222,1.304173440819429,0.005200424380657064,-0.08635349338295231,0.22982645745264063,False
stable_default,t_clustered_calendar_jump,8,ETH,202,7087.255108086761,-0.2912744891913239,-0.06654021378846942,0.6476337398033869,0.41089108910891087,0.9749565857030889,-0.0005409908839674739,-0.19914109774700012,0.17355302666998207,False
simple_long_continuation,t_clustered_calendar_jump,8,ETH,247,3556.199659838323,-0.6443800340161677,-0.18680026729355048,0.7807720314539937,0.3805668016194332,0.8551624363579123,-0.0031372612306641233,-0.19914109774700012,0.17355302666998207,False
stable_default,t_clustered_calendar_jump,9,BTC,216,18429.6796404799,0.8429679640479899,0.13006534581466012,0.24765965398916,0.4444444444444444,1.217717165052436,0.003928715093786157,-0.1057273168236163,0.13066338654355777,False
simple_long_continuation,t_clustered_calendar_jump,9,BTC,266,10282.665842678169,0.02826658426781692,0.005590459950782778,0.5728794614357902,0.39473684210526316,1.0074301570710251,0.0001405630166527001,-0.1409867782844744,0.13066338654355777,False
stable_default,t_clustered_calendar_jump,10,BTC,216,17360.343262613264,0.7360343262613263,0.11663609350905024,0.46876700310260455,0.47685185185185186,1.1934721401254091,0.003834934829084447,-0.3347497750225398,0.1274210913774956,False
simple_long_continuation,t_clustered_calendar_jump,10,BTC,271,8828.587326954226,-0.11714126730457741,-0.024610124261717825,0.5843367423435262,0.41697416974169743,1.014302026112007,0.0002828034357431787,-0.3347497750225398,0.1274210913774956,False
stable_default,t_clustered_calendar_jump,11,BTC,240,33735.11290949996,2.3735112909499962,0.275311963079268,0.13471453462610783,0.475,1.6304459019312232,0.009913322239321938,-0.07731825367103284,0.20340814034473445,False
simple_long_continuation,t_clustered_calendar_jump,11,BTC,278,33214.48534922252,2.3214485349222524,0.2713511069324197,0.15807239275461604,0.4568345323741007,1.535721606217759,0.008370987702911944,-0.07731825367103284,0.20340814034473445,False
stable_default,t_clustered_calendar_jump,12,ETH,204,16452.843670590762,0.6452843670590762,0.10470976831098633,0.3880092387169126,0.47058823529411764,1.174438565455689,0.0035164671679812033,-0.1650253611049257,0.30023561010988054,False
simple_long_continuation,t_clustered_calendar_jump,12,ETH,242,11536.260575643311,0.15362605756433112,0.028994400418487665,0.4838338992775685,0.44214876033057854,1.093249879657955,0.001864690731574167,-0.1650253611049257,0.30023561010988054,False
stable_default,t_clustered_calendar_jump,13,BTC,228,30134.6466459751,2.01346466459751,0.24684716075658986,0.15765646190630223,0.5219298245614035,1.5307634020091854,0.008843935069249232,-0.1495479408679865,0.16447035441357657,False
simple_long_continuation,t_clustered_calendar_jump,13,BTC,281,27085.61990322529,1.7085619903225293,0.22052802518047687,0.16241739098818941,0.4875444839857651,1.3544871525401878,0.006090799008946067,-0.1495479408679865,0.16447035441357657,False
stable_default,t_clustered_calendar_jump,14,ETH,199,7647.813347971826,-0.23521866520281742,-0.052220183307021606,0.4731574026541122,0.44221105527638194,0.9761345883604184,-0.0004871271325833689,-0.13433313690403867,0.18144372959720712,False
simple_long_continuation,t_clustered_calendar_jump,14,ETH,238,7252.9260612309845,-0.2747073938769016,-0.06221636432919131,0.5478698006991974,0.42857142857142855,0.9680846922832845,-0.0006262308332174703,-0.13433313690403867,0.18144372959720712,False
stable_default,t_clustered_calendar_jump,15,BTC,226,18194.490990196908,0.8194490990196908,0.12716626440302825,0.294097161543329,0.4469026548672566,1.2417891063798254,0.00399667179556307,-0.1047766733259465,0.16024535868641232,False
simple_long_continuation,t_clustered_calendar_jump,15,BTC,271,15355.642836512032,0.5355642836512031,0.08956614511113425,0.39425743527309076,0.4095940959409594,1.1467870082741791,0.0024125255684960684,-0.1047766733259465,0.16024535868641232,False
stable_default,t_clustered_calendar_jump,16,BTC,214,23573.236197739843,1.3573236197739842,0.18709053308167922,0.33210438001124454,0.48598130841121495,1.3587059247639592,0.006368862653072575,-0.13227151773191054,0.19048860175891905,False
simple_long_continuation,t_clustered_calendar_jump,16,BTC,253,20892.039778024093,1.0892039778024092,0.15876713388438168,0.31883002447536357,0.45849802371541504,1.2388154827966424,0.004306846257181222,-0.13227151773191054,0.19048860175891905,False
stable_default,t_clustered_calendar_jump,17,ETH,217,13388.34756922866,0.338834756922866,0.06009648784882615,0.5650324300815106,0.41935483870967744,1.1450683475545496,0.003158412649214333,-0.15149694108091627,0.3280196552818649,False
